# CREATED BY GENE DIAGNOSTICS TOOL on Thu May 14 09:01:52 2020
# diag: cont, run(s): 0014, time window: 0-3.9578688(62 steps), species: electrons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_zonalFlow/
# normalization: L_ref=1.65m
#
# , time = 0, variable: phi(x/rho_s,y/rho_s)
 -3.0240E-04 -5.7127E-05  1.8814E-04 -5.7127E-05 -3.0240E-04
 -2.7536E-04 -5.1641E-05  1.7207E-04 -5.1641E-05 -2.7536E-04
 -2.2546E-04 -4.1493E-05  1.4247E-04 -4.1493E-05 -2.2546E-04
 -1.8561E-04 -3.3347E-05  1.1892E-04 -3.3347E-05 -1.8561E-04
 -1.5693E-04 -2.7447E-05  1.0204E-04 -2.7447E-05 -1.5693E-04
 -1.3522E-04 -2.2958E-05  8.9304E-05 -2.2958E-05 -1.3522E-04
 -1.1806E-04 -1.9398E-05  7.9266E-05 -1.9398E-05 -1.1806E-04
 -1.0418E-04 -1.6511E-05  7.1158E-05 -1.6511E-05 -1.0418E-04
 -9.2584E-05 -1.4097E-05  6.4389E-05 -1.4097E-05 -9.2584E-05
 -8.2731E-05 -1.2048E-05  5.8634E-05 -1.2048E-05 -8.2731E-05
 -7.4121E-05 -1.0263E-05  5.3596E-05 -1.0263E-05 -7.4121E-05
 -6.6605E-05 -8.7125E-06  4.9180E-05 -8.7125E-06 -6.6605E-05
 -5.9833E-05 -7.3260E-06  4.5181E-05 -7.3260E-06 -5.9833E-05
 -5.4341E-05 -6.2108E-06  4.1920E-05 -6.2108E-06 -5.4341E-05
 -5.1200E-05 -5.5470E-06  4.0106E-05 -5.5470E-06 -5.1200E-05
 -4.7806E-05 -4.8018E-06  3.8202E-05 -4.8018E-06 -4.7806E-05
 -4.4582E-05 -4.0764E-06  3.6429E-05 -4.0764E-06 -4.4582E-05
 -4.1483E-05 -3.3640E-06  3.4755E-05 -3.3640E-06 -4.1483E-05
 -3.8604E-05 -2.6901E-06  3.3224E-05 -2.6901E-06 -3.8604E-05
 -3.5829E-05 -2.0337E-06  3.1762E-05 -2.0337E-06 -3.5829E-05
 -3.3233E-05 -1.4153E-06  3.0402E-05 -1.4153E-06 -3.3233E-05
 -3.0695E-05 -8.1296E-07  2.9069E-05 -8.1296E-07 -3.0695E-05
 -2.8280E-05 -2.4541E-07  2.7789E-05 -2.4541E-07 -2.8280E-05
 -2.5862E-05  3.0960E-07  2.6482E-05  3.0960E-07 -2.5862E-05
 -2.3501E-05  8.3297E-07  2.5167E-05  8.3297E-07 -2.3501E-05
 -2.1067E-05  1.3472E-06  2.3761E-05  1.3472E-06 -2.1067E-05
 -1.8625E-05  1.8295E-06  2.2284E-05  1.8295E-06 -1.8625E-05
 -1.6047E-05  2.3023E-06  2.0651E-05  2.3023E-06 -1.6047E-05
 -1.3453E-05  2.7299E-06  1.8913E-05  2.7299E-06 -1.3453E-05
 -1.0717E-05  3.1392E-06  1.6995E-05  3.1392E-06 -1.0717E-05
 -8.3725E-06  3.4130E-06  1.5199E-05  3.4130E-06 -8.3725E-06
 -8.5191E-06  3.2182E-06  1.4955E-05  3.2182E-06 -8.5191E-06
 -8.4074E-06  3.1641E-06  1.4736E-05  3.1641E-06 -8.4074E-06
 -7.9284E-06  3.2271E-06  1.4383E-05  3.2271E-06 -7.9284E-06
 -7.5149E-06  3.3177E-06  1.4150E-05  3.3177E-06 -7.5149E-06
 -6.9865E-06  3.4566E-06  1.3900E-05  3.4566E-06 -6.9865E-06
 -6.5445E-06  3.6024E-06  1.3749E-05  3.6024E-06 -6.5445E-06
 -6.0183E-06  3.7786E-06  1.3575E-05  3.7786E-06 -6.0183E-06
 -5.5757E-06  3.9502E-06  1.3476E-05  3.9502E-06 -5.5757E-06
 -5.0231E-06  4.1460E-06  1.3315E-05  4.1460E-06 -5.0231E-06
 -4.5221E-06  4.3315E-06  1.3185E-05  4.3315E-06 -4.5221E-06
 -3.8589E-06  4.5358E-06  1.2930E-05  4.5358E-06 -3.8589E-06
 -3.1820E-06  4.7200E-06  1.2622E-05  4.7200E-06 -3.1820E-06
 -2.2083E-06  4.9286E-06  1.2065E-05  4.9286E-06 -2.2083E-06
 -1.1639E-06  5.1068E-06  1.1378E-05  5.1068E-06 -1.1639E-06
  3.2014E-07  5.3114E-06  1.0303E-05  5.3114E-06  3.2014E-07
  1.8524E-06  5.4534E-06  9.0543E-06  5.4534E-06  1.8524E-06
  4.0156E-06  5.6306E-06  7.2456E-06  5.6306E-06  4.0156E-06
  4.7165E-06  5.4538E-06  6.1911E-06  5.4538E-06  4.7165E-06
  4.1691E-06  5.1172E-06  6.0654E-06  5.1172E-06  4.1691E-06
  4.3353E-06  4.9999E-06  5.6646E-06  4.9999E-06  4.3353E-06
  4.3582E-06  4.8993E-06  5.4403E-06  4.8993E-06  4.3582E-06
  4.5205E-06  4.8681E-06  5.2156E-06  4.8681E-06  4.5205E-06
  4.5794E-06  4.8472E-06  5.1151E-06  4.8472E-06  4.5794E-06
  4.6732E-06  4.8630E-06  5.0528E-06  4.8630E-06  4.6732E-06
  4.6847E-06  4.8850E-06  5.0854E-06  4.8850E-06  4.6847E-06
  4.6913E-06  4.9277E-06  5.1641E-06  4.9277E-06  4.6913E-06
  4.6509E-06  4.9759E-06  5.3008E-06  4.9759E-06  4.6509E-06
  4.6079E-06  5.0356E-06  5.4632E-06  5.0356E-06  4.6079E-06
  4.5853E-06  5.1021E-06  5.6189E-06  5.1021E-06  4.5853E-06
  4.6047E-06  5.1733E-06  5.7418E-06  5.1733E-06  4.6047E-06
  4.7628E-06  5.2538E-06  5.7449E-06  5.2538E-06  4.7628E-06
  5.0485E-06  5.3297E-06  5.6109E-06  5.3297E-06  5.0485E-06
  5.6524E-06  5.4177E-06  5.1829E-06  5.4177E-06  5.6524E-06
  6.4523E-06  5.4781E-06  4.5038E-06  5.4781E-06  6.4523E-06
  7.8252E-06  5.5597E-06  3.2943E-06  5.5597E-06  7.8252E-06
  8.3920E-06  5.4118E-06  2.4316E-06  5.4118E-06  8.3920E-06
  7.9868E-06  5.1311E-06  2.2754E-06  5.1311E-06  7.9868E-06
  8.1601E-06  5.0081E-06  1.8560E-06  5.0081E-06  8.1601E-06
  8.2231E-06  4.8878E-06  1.5525E-06  4.8878E-06  8.2231E-06
  8.4498E-06  4.8264E-06  1.2030E-06  4.8264E-06  8.4498E-06
  8.5547E-06  4.7640E-06  9.7332E-07  4.7640E-06  8.5547E-06
  8.7237E-06  4.7386E-06  7.5354E-07  4.7386E-06  8.7237E-06
