# CREATED BY GENE DIAGNOSTICS TOOL on Fri Apr 10 00:12:52 2020
# diag: nrgsummary, run(s): 0021-0025, time window: 0-11.552773(1 steps), species: electrons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_nonlinGEM/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  4.9946E-02  1.6568E-01  6.0873E-02  3.3695E-03
  5.0561E-02  1.6424E-01  6.1835E-02  3.3580E-03
  5.1177E-02  1.6313E-01  6.2925E-02  3.3289E-03
  5.1792E-02  1.6177E-01  6.3899E-02  3.3130E-03
  5.2408E-02  1.6041E-01  6.4911E-02  3.2906E-03
  5.3024E-02  1.5995E-01  6.6468E-02  3.2726E-03
  5.3639E-02  1.5998E-01  6.8251E-02  3.2559E-03
  5.4255E-02  1.5859E-01  6.9201E-02  3.2220E-03
  5.4870E-02  1.5735E-01  7.0243E-02  3.2291E-03
  5.5486E-02  1.5666E-01  7.1452E-02  3.2320E-03
  5.6101E-02  1.5637E-01  7.3032E-02  3.2355E-03
  5.6717E-02  1.5559E-01  7.4334E-02  3.2584E-03
  5.7333E-02  1.5430E-01  7.5496E-02  3.3041E-03
  5.7922E-02  1.5328E-01  7.6619E-02  3.3371E-03
  5.8504E-02  1.5265E-01  7.7975E-02  3.4023E-03
  5.9086E-02  1.5163E-01  7.9097E-02  3.4798E-03
  5.9668E-02  1.5122E-01  8.0456E-02  3.5552E-03
  6.0251E-02  1.5142E-01  8.1981E-02  3.6337E-03
  6.0833E-02  1.5080E-01  8.3158E-02  3.7375E-03
  6.1415E-02  1.5042E-01  8.4429E-02  3.8542E-03
  6.1998E-02  1.5016E-01  8.5613E-02  3.9816E-03
  6.2580E-02  1.5039E-01  8.7207E-02  4.1455E-03
  6.3162E-02  1.5107E-01  8.8904E-02  4.3071E-03
  6.3744E-02  1.5264E-01  9.0957E-02  4.4741E-03
  6.4327E-02  1.5445E-01  9.3134E-02  4.6356E-03
  6.4909E-02  1.5627E-01  9.5190E-02  4.8004E-03
  6.5491E-02  1.5824E-01  9.7184E-02  4.9908E-03
  6.6074E-02  1.6015E-01  9.9008E-02  5.1822E-03
  6.6656E-02  1.6161E-01  1.0052E-01  5.3750E-03
  6.7238E-02  1.6298E-01  1.0189E-01  5.5551E-03
