# CREATED BY GENE DIAGNOSTICS TOOL on Thu May 14 09:02:58 2020
# diag: cont, run(s): 0009, time window: 0-4.0769472(82 steps), species: electrons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_zonalFlow/
# normalization: L_ref=1.65m
#
# , time = 0, variable: phi(k_x rho_s,k_y rho_s)
  5.9915E-09  2.8724E-09  5.9915E-09
  6.5858E-10  1.2146E-10  6.5858E-10
  1.2769E-09  6.6194E-10  1.2769E-09
  2.2435E-09  1.4543E-09  2.2435E-09
  3.1853E-09  1.3110E-09  3.1853E-09
  6.0361E-11  1.4911E-10  6.0361E-11
  3.3070E-09  1.6830E-09  3.3070E-09
  6.8974E-10  1.4016E-10  6.8974E-10
  1.1558E-09  5.9297E-10  1.1558E-09
  2.9252E-09  1.6704E-09  2.9252E-09
  2.4448E-09  7.5872E-10  2.4448E-09
  4.9792E-09  2.6498E-09  4.9792E-09
  6.2265E-09  2.9858E-09  6.2265E-09
  3.3835E-10  1.2963E-10  3.3835E-10
  2.2628E-09  1.5763E-09  2.2628E-09
  6.0064E-09  2.8169E-09  6.0064E-09
  2.9797E-09  1.5728E-09  2.9797E-09
  6.9161E-09  3.7053E-09  6.9161E-09
  7.6474E-09  3.6424E-09  7.6474E-09
  7.9957E-09  4.1350E-09  7.9957E-09
  3.8247E-09  1.3054E-09  3.8247E-09
  1.2470E-09  5.8332E-10  1.2470E-09
  1.8589E-09  1.4595E-09  1.8589E-09
  1.1130E-08  5.8167E-09  1.1130E-08
  7.1462E-09  2.9854E-09  7.1462E-09
  5.5719E-09  3.2292E-09  5.5719E-09
  1.0805E-08  5.4235E-09  1.0805E-08
  7.9143E-09  3.8205E-09  7.9143E-09
  1.2226E-08  6.5566E-09  1.2226E-08
  1.3816E-08  7.0269E-09  1.3816E-08
  2.1388E-08  1.1226E-08  2.1388E-08
  2.3402E-08  1.1400E-08  2.3402E-08
  1.7057E-08  7.7910E-09  1.7057E-08
  9.5174E-09  5.0191E-09  9.5174E-09
  2.1446E-08  1.1594E-08  2.1446E-08
  2.4056E-08  1.1511E-08  2.4056E-08
  1.9771E-08  1.0173E-08  1.9771E-08
  2.7832E-08  1.4058E-08  2.7832E-08
  2.4068E-08  1.2002E-08  2.4068E-08
  2.8198E-08  1.4182E-08  2.8198E-08
  2.7019E-08  1.3656E-08  2.7019E-08
  3.5880E-08  1.9024E-08  3.5880E-08
  4.9574E-08  2.6067E-08  4.9574E-08
  5.7700E-08  2.7839E-08  5.7700E-08
  4.3663E-08  2.1231E-08  4.3663E-08
  4.9036E-08  2.6144E-08  4.9036E-08
  6.2318E-08  3.0609E-08  6.2318E-08
  5.7952E-08  2.9756E-08  5.7952E-08
  6.9870E-08  3.5176E-08  6.9870E-08
  7.0458E-08  3.5650E-08  7.0458E-08
  7.7847E-08  3.8789E-08  7.7847E-08
  7.4116E-08  3.6736E-08  7.4116E-08
  7.3160E-08  3.6384E-08  7.3160E-08
  8.7804E-08  4.7657E-08  8.7804E-08
  1.2074E-07  6.2020E-08  1.2074E-07
  1.2008E-07  5.7518E-08  1.2008E-07
  1.1742E-07  6.1634E-08  1.1742E-07
  1.3991E-07  6.9675E-08  1.3991E-07
  1.4173E-07  7.2504E-08  1.4173E-07
  1.6103E-07  8.1060E-08  1.6103E-07
  1.7109E-07  8.8105E-08  1.7109E-07
  1.9205E-07  9.7149E-08  1.9205E-07
