# CREATED BY GENE DIAGNOSTICS TOOL on Thu May 14 09:02:03 2020
# diag: cont, run(s): 0009, time window: 0-4.0769472(82 steps), species: electrons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_zonalFlow/
# normalization: L_ref=1.65m
#
# , time = 0, variable: phi(x/rho_s,y/rho_s)
 -2.9903E-04 -5.6569E-05  1.8589E-04 -5.6569E-05 -2.9903E-04
 -2.7365E-04 -5.1420E-05  1.7081E-04 -5.1420E-05 -2.7365E-04
 -2.2561E-04 -4.1652E-05  1.4231E-04 -4.1652E-05 -2.2561E-04
 -1.8610E-04 -3.3580E-05  1.1894E-04 -3.3580E-05 -1.8610E-04
 -1.5753E-04 -2.7707E-05  1.0212E-04 -2.7707E-05 -1.5753E-04
 -1.3580E-04 -2.3216E-05  8.9363E-05 -2.3216E-05 -1.3580E-04
 -1.1866E-04 -1.9662E-05  7.9338E-05 -1.9662E-05 -1.1866E-04
 -1.0470E-04 -1.6760E-05  7.1179E-05 -1.6760E-05 -1.0470E-04
 -9.3143E-05 -1.4354E-05  6.4436E-05 -1.4354E-05 -9.3143E-05
 -8.3222E-05 -1.2290E-05  5.8642E-05 -1.2290E-05 -8.3222E-05
 -7.4705E-05 -1.0520E-05  5.3665E-05 -1.0520E-05 -7.4705E-05
 -6.7083E-05 -8.9459E-06  4.9191E-05 -8.9459E-06 -6.7083E-05
 -6.0480E-05 -7.5877E-06  4.5304E-05 -7.5877E-06 -6.0480E-05
 -5.4384E-05 -6.3485E-06  4.1687E-05 -6.3485E-06 -5.4384E-05
 -5.0560E-05 -5.5630E-06  3.9434E-05 -5.5630E-06 -5.0560E-05
 -4.7670E-05 -4.9349E-06  3.7800E-05 -4.9349E-06 -4.7670E-05
 -4.4399E-05 -4.2095E-06  3.5980E-05 -4.2095E-06 -4.4399E-05
 -4.1464E-05 -3.5405E-06  3.4383E-05 -3.5405E-06 -4.1464E-05
 -3.8573E-05 -2.8700E-06  3.2833E-05 -2.8700E-06 -3.8573E-05
 -3.5915E-05 -2.2432E-06  3.1428E-05 -2.2432E-06 -3.5915E-05
 -3.3330E-05 -1.6282E-06  3.0074E-05 -1.6282E-06 -3.3330E-05
 -3.0904E-05 -1.0490E-06  2.8806E-05 -1.0490E-06 -3.0904E-05
 -2.8535E-05 -4.8487E-07  2.7565E-05 -4.8487E-07 -2.8535E-05
 -2.6252E-05  5.0387E-08  2.6353E-05  5.0387E-08 -2.6252E-05
 -2.3989E-05  5.7036E-07  2.5130E-05  5.7036E-07 -2.3989E-05
 -2.1735E-05  1.0676E-06  2.3870E-05  1.0676E-06 -2.1735E-05
 -1.9455E-05  1.5489E-06  2.2552E-05  1.5489E-06 -1.9455E-05
 -1.7107E-05  2.0110E-06  2.1129E-05  2.0110E-06 -1.7107E-05
 -1.4702E-05  2.4519E-06  1.9605E-05  2.4519E-06 -1.4702E-05
 -1.2188E-05  2.8682E-06  1.7925E-05  2.8682E-06 -1.2188E-05
 -9.6681E-06  3.2444E-06  1.6157E-05  3.2444E-06 -9.6681E-06
 -7.2213E-06  3.5505E-06  1.4322E-05  3.5505E-06 -7.2213E-06
 -7.2372E-06  3.3800E-06  1.3997E-05  3.3800E-06 -7.2372E-06
 -7.2944E-06  3.2866E-06  1.3867E-05  3.2866E-06 -7.2944E-06
 -6.8456E-06  3.3413E-06  1.3528E-05  3.3413E-06 -6.8456E-06
 -6.4977E-06  3.4140E-06  1.3326E-05  3.4140E-06 -6.4977E-06
 -6.0278E-06  3.5353E-06  1.3098E-05  3.5353E-06 -6.0278E-06
 -5.6129E-06  3.6656E-06  1.2944E-05  3.6656E-06 -5.6129E-06
 -5.1443E-06  3.8222E-06  1.2789E-05  3.8222E-06 -5.1443E-06
 -4.7165E-06  3.9815E-06  1.2680E-05  3.9815E-06 -4.7165E-06
 -4.2503E-06  4.1552E-06  1.2561E-05  4.1552E-06 -4.2503E-06
 -3.7788E-06  4.3299E-06  1.2439E-05  4.3299E-06 -3.7788E-06
 -3.2437E-06  4.5120E-06  1.2268E-05  4.5120E-06 -3.2437E-06
 -2.6245E-06  4.6957E-06  1.2016E-05  4.6957E-06 -2.6245E-06
 -1.8870E-06  4.8807E-06  1.1648E-05  4.8807E-06 -1.8870E-06
 -9.5337E-07  5.0684E-06  1.1090E-05  5.0684E-06 -9.5337E-07
  1.6142E-07  5.2470E-06  1.0333E-05  5.2470E-06  1.6142E-07
  1.5974E-06  5.4259E-06  9.2544E-06  5.4259E-06  1.5974E-06
  3.2007E-06  5.5689E-06  7.9371E-06  5.5689E-06  3.2007E-06
  5.1966E-06  5.6990E-06  6.2015E-06  5.6990E-06  5.1966E-06
  5.3289E-06  5.4308E-06  5.5327E-06  5.4308E-06  5.3289E-06
  4.8943E-06  5.1494E-06  5.4046E-06  5.1494E-06  4.8943E-06
  5.0816E-06  5.0495E-06  5.0174E-06  5.0495E-06  5.0816E-06
  5.0764E-06  4.9570E-06  4.8376E-06  4.9570E-06  5.0764E-06
  5.2515E-06  4.9348E-06  4.6182E-06  4.9348E-06  5.2515E-06
  5.2730E-06  4.9145E-06  4.5560E-06  4.9145E-06  5.2730E-06
  5.3847E-06  4.9373E-06  4.4898E-06  4.9373E-06  5.3847E-06
  5.3594E-06  4.9577E-06  4.5560E-06  4.9577E-06  5.3594E-06
  5.3919E-06  5.0085E-06  4.6251E-06  5.0085E-06  5.3919E-06
  5.3164E-06  5.0565E-06  4.7965E-06  5.0565E-06  5.3164E-06
  5.3052E-06  5.1284E-06  4.9517E-06  5.1284E-06  5.3052E-06
  5.2573E-06  5.2052E-06  5.1531E-06  5.2052E-06  5.2573E-06
  5.2430E-06  5.2858E-06  5.3286E-06  5.2858E-06  5.2430E-06
  5.2613E-06  5.3470E-06  5.4326E-06  5.3470E-06  5.2613E-06
  5.5305E-06  5.4213E-06  5.3121E-06  5.4213E-06  5.5305E-06
  5.9706E-06  5.4857E-06  5.0009E-06  5.4857E-06  5.9706E-06
  6.7195E-06  5.5483E-06  4.3772E-06  5.5483E-06  6.7195E-06
  7.7800E-06  5.6007E-06  3.4213E-06  5.6007E-06  7.7800E-06
  8.9292E-06  5.5742E-06  2.2192E-06  5.5742E-06  8.9292E-06
  8.6424E-06  5.2728E-06  1.9032E-06  5.2728E-06  8.6424E-06
  8.6351E-06  5.1074E-06  1.5796E-06  5.1074E-06  8.6351E-06
  8.6810E-06  4.9841E-06  1.2873E-06  4.9841E-06  8.6810E-06
  8.7939E-06  4.9098E-06  1.0257E-06  4.9098E-06  8.7939E-06
  8.8585E-06  4.8465E-06  8.3459E-07  4.8465E-06  8.8585E-06
  8.9637E-06  4.8168E-06  6.6987E-07  4.8168E-06  8.9637E-06
  8.9967E-06  4.7891E-06  5.8150E-07  4.7891E-06  8.9967E-06
  9.0484E-06  4.7870E-06  5.2562E-07  4.7870E-06  9.0484E-06
  9.0168E-06  4.7835E-06  5.5015E-07  4.7835E-06  9.0168E-06
  8.9904E-06  4.8016E-06  6.1286E-07  4.8016E-06  8.9904E-06
  8.8850E-06  4.8182E-06  7.5145E-07  4.8182E-06  8.8850E-06
  8.7864E-06  4.8550E-06  9.2367E-07  4.8550E-06  8.7864E-06
  8.6400E-06  4.8927E-06  1.1454E-06  4.8927E-06  8.6400E-06
  8.5275E-06  4.9508E-06  1.3740E-06  4.9508E-06  8.5275E-06
  8.4644E-06  5.0195E-06  1.5746E-06  5.0195E-06  8.4644E-06
  8.5139E-06  5.1211E-06  1.7282E-06  5.1211E-06  8.5139E-06
  8.4078E-06  5.1520E-06  1.8961E-06  5.1520E-06  8.4078E-06
  8.6085E-06  5.1638E-06  1.7192E-06  5.1638E-06  8.6085E-06
  9.2190E-06  5.1681E-06  1.1171E-06  5.1681E-06  9.2190E-06
  9.4545E-06  5.0374E-06  6.2041E-07  5.0374E-06  9.4545E-06
  9.3253E-06  4.8726E-06  4.2000E-07  4.8726E-06  9.3253E-06
  9.5138E-06  4.7983E-06  8.2724E-08  4.7983E-06  9.5138E-06
  9.5615E-06  4.7166E-06 -1.2825E-07  4.7166E-06  9.5615E-06
  9.7318E-06  4.6787E-06 -3.7443E-07  4.6787E-06  9.7318E-06
  9.7675E-06  4.6317E-06 -5.0418E-07  4.6317E-06  9.7675E-06
  9.8892E-06  4.6183E-06 -6.5263E-07  4.6183E-06  9.8892E-06
  9.8791E-06  4.5940E-06 -6.9100E-07  4.5940E-06  9.8791E-06
  9.9442E-06  4.5997E-06 -7.4476E-07  4.5997E-06  9.9442E-06
  9.8791E-06  4.5940E-06 -6.9100E-07  4.5940E-06  9.8791E-06
  9.8892E-06  4.6183E-06 -6.5263E-07  4.6183E-06  9.8892E-06
  9.7675E-06  4.6317E-06 -5.0418E-07  4.6317E-06  9.7675E-06
  9.7318E-06  4.6787E-06 -3.7443E-07  4.6787E-06  9.7318E-06
  9.5615E-06  4.7166E-06 -1.2825E-07  4.7166E-06  9.5615E-06
  9.5138E-06  4.7983E-06  8.2724E-08  4.7983E-06  9.5138E-06
  9.3253E-06  4.8726E-06  4.2000E-07  4.8726E-06  9.3253E-06
  9.4545E-06  5.0374E-06  6.2041E-07  5.0374E-06  9.4545E-06
  9.2190E-06  5.1681E-06  1.1171E-06  5.1681E-06  9.2190E-06
  8.6085E-06  5.1638E-06  1.7192E-06  5.1638E-06  8.6085E-06
  8.4078E-06  5.1520E-06  1.8961E-06  5.1520E-06  8.4078E-06
  8.5139E-06  5.1211E-06  1.7282E-06  5.1211E-06  8.5139E-06
  8.4644E-06  5.0195E-06  1.5746E-06  5.0195E-06  8.4644E-06
  8.5275E-06  4.9508E-06  1.3740E-06  4.9508E-06  8.5275E-06
  8.6400E-06  4.8927E-06  1.1454E-06  4.8927E-06  8.6400E-06
  8.7864E-06  4.8550E-06  9.2367E-07  4.8550E-06  8.7864E-06
  8.8850E-06  4.8182E-06  7.5145E-07  4.8182E-06  8.8850E-06
  8.9904E-06  4.8016E-06  6.1286E-07  4.8016E-06  8.9904E-06
  9.0168E-06  4.7835E-06  5.5015E-07  4.7835E-06  9.0168E-06
  9.0484E-06  4.7870E-06  5.2562E-07  4.7870E-06  9.0484E-06
  8.9967E-06  4.7891E-06  5.8150E-07  4.7891E-06  8.9967E-06
  8.9637E-06  4.8168E-06  6.6987E-07  4.8168E-06  8.9637E-06
  8.8585E-06  4.8465E-06  8.3459E-07  4.8465E-06  8.8585E-06
  8.7939E-06  4.9098E-06  1.0257E-06  4.9098E-06  8.7939E-06
  8.6810E-06  4.9841E-06  1.2873E-06  4.9841E-06  8.6810E-06
  8.6351E-06  5.1074E-06  1.5796E-06  5.1074E-06  8.6351E-06
  8.6424E-06  5.2728E-06  1.9032E-06  5.2728E-06  8.6424E-06
  8.9292E-06  5.5742E-06  2.2192E-06  5.5742E-06  8.9292E-06
  7.7800E-06  5.6007E-06  3.4213E-06  5.6007E-06  7.7800E-06
  6.7195E-06  5.5483E-06  4.3772E-06  5.5483E-06  6.7195E-06
  5.9706E-06  5.4857E-06  5.0009E-06  5.4857E-06  5.9706E-06
  5.5305E-06  5.4213E-06  5.3121E-06  5.4213E-06  5.5305E-06
  5.2613E-06  5.3470E-06  5.4326E-06  5.3470E-06  5.2613E-06
  5.2430E-06  5.2858E-06  5.3286E-06  5.2858E-06  5.2430E-06
  5.2573E-06  5.2052E-06  5.1531E-06  5.2052E-06  5.2573E-06
  5.3052E-06  5.1284E-06  4.9517E-06  5.1284E-06  5.3052E-06
  5.3164E-06  5.0565E-06  4.7965E-06  5.0565E-06  5.3164E-06
  5.3919E-06  5.0085E-06  4.6251E-06  5.0085E-06  5.3919E-06
  5.3594E-06  4.9577E-06  4.5560E-06  4.9577E-06  5.3594E-06
  5.3847E-06  4.9373E-06  4.4898E-06  4.9373E-06  5.3847E-06
  5.2730E-06  4.9145E-06  4.5560E-06  4.9145E-06  5.2730E-06
  5.2515E-06  4.9348E-06  4.6182E-06  4.9348E-06  5.2515E-06
  5.0764E-06  4.9570E-06  4.8376E-06  4.9570E-06  5.0764E-06
  5.0816E-06  5.0495E-06  5.0174E-06  5.0495E-06  5.0816E-06
  4.8943E-06  5.1494E-06  5.4046E-06  5.1494E-06  4.8943E-06
  5.3289E-06  5.4308E-06  5.5327E-06  5.4308E-06  5.3289E-06
  5.1966E-06  5.6990E-06  6.2015E-06  5.6990E-06  5.1966E-06
  3.2007E-06  5.5689E-06  7.9371E-06  5.5689E-06  3.2007E-06
  1.5974E-06  5.4259E-06  9.2544E-06  5.4259E-06  1.5974E-06
