# CREATED BY GENE DIAGNOSTICS TOOL on Thu Aug 13 14:06:23 2020
# diag: spectra, run(s): 0016, time window: 0-348.31466(48 steps), species: protons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
# kxind = -1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  ky         phi         n           Tpar        Tperp       qpar        qperp       upar      
  1.2096E+00  2.6830E-01  3.2059E+00  4.0570E+00  3.7666E-01  1.2834E+00  5.6901E-01  6.0320E-01
  1.2622E+00  2.3967E-01  3.0551E+00  3.8250E+00  3.6109E-01  1.1731E+00  5.1263E-01  5.5419E-01
  1.3148E+00  2.0761E-01  2.8552E+00  3.5882E+00  3.4829E-01  1.1171E+00  4.8200E-01  5.2654E-01
  1.3674E+00  1.8427E-01  2.7435E+00  3.3833E+00  3.4338E-01  1.0431E+00  4.4289E-01  4.9326E-01
  1.4199E+00  1.6179E-01  2.5900E+00  3.1731E+00  3.3365E-01  9.8406E-01  4.1204E-01  4.6561E-01
  1.4725E+00  1.3805E-01  2.4190E+00  2.9309E+00  3.0895E-01  9.1214E-01  3.7422E-01  4.2877E-01
  1.5251E+00  1.2485E-01  2.3060E+00  2.7989E+00  3.0461E-01  8.6573E-01  3.4794E-01  4.0649E-01
  1.5777E+00  1.1115E-01  2.2536E+00  2.7261E+00  2.9467E-01  8.2064E-01  3.3067E-01  3.8969E-01
  1.6303E+00  9.5617E-02  2.1079E+00  2.5588E+00  2.8520E-01  7.5650E-01  2.9790E-01  3.5785E-01
  1.6829E+00  9.0251E-02  2.0471E+00  2.4531E+00  2.8283E-01  7.4429E-01  2.8558E-01  3.5035E-01
  1.7355E+00  7.6623E-02  1.9100E+00  2.3011E+00  2.7286E-01  7.0736E-01  2.6695E-01  3.3229E-01
  1.7881E+00  6.9264E-02  1.8333E+00  2.2321E+00  2.6579E-01  6.6219E-01  2.4594E-01  3.1396E-01
  1.8407E+00  5.9994E-02  1.7430E+00  2.0824E+00  2.5658E-01  6.2548E-01  2.2823E-01  2.9589E-01
  1.8933E+00  5.5272E-02  1.6877E+00  1.9869E+00  2.4746E-01  5.9236E-01  2.1101E-01  2.7887E-01
  1.9458E+00  4.9557E-02  1.6165E+00  1.9174E+00  2.4835E-01  5.6865E-01  1.9965E-01  2.6996E-01
  1.9984E+00  4.6185E-02  1.5387E+00  1.8297E+00  2.3763E-01  5.4313E-01  1.8671E-01  2.5796E-01
  2.0510E+00  4.1005E-02  1.4860E+00  1.7743E+00  2.3496E-01  5.1233E-01  1.7306E-01  2.4233E-01
  2.1036E+00  3.7350E-02  1.4347E+00  1.6636E+00  2.2508E-01  4.9671E-01  1.6241E-01  2.3463E-01
  2.1562E+00  3.2646E-02  1.3846E+00  1.6275E+00  2.2383E-01  4.6742E-01  1.5147E-01  2.2275E-01
  2.2088E+00  3.0022E-02  1.3615E+00  1.5866E+00  2.2374E-01  4.5403E-01  1.4452E-01  2.1775E-01
  2.2614E+00  2.8843E-02  1.3130E+00  1.5315E+00  2.2342E-01  4.3455E-01  1.3484E-01  2.0617E-01
  2.3140E+00  2.6171E-02  1.2862E+00  1.5131E+00  2.2037E-01  4.2772E-01  1.2906E-01  2.0368E-01
  2.3666E+00  2.4091E-02  1.2560E+00  1.4621E+00  2.2665E-01  4.1532E-01  1.2249E-01  1.9713E-01
  2.4192E+00  2.2751E-02  1.2479E+00  1.4404E+00  2.2729E-01  4.0563E-01  1.1688E-01  1.9278E-01
  2.4717E+00  2.1468E-02  1.2399E+00  1.4464E+00  2.3406E-01  4.0472E-01  1.1294E-01  1.9211E-01
