#Run  | kymin     1  /Eigenvalue1
0001  | 5.000000e-02 |  0.0501   0.0894
0003  | 1.500000e-01 |  0.2366   0.3447
0004  | 2.000000e-01 |  0.3465   0.5170
0005  | 2.500000e-01 |  0.4432   0.7051
0006  | 3.000000e-01 |  0.5121   0.8951
0007  | 3.500000e-01 |  0.5471   1.0810
0008  | 4.000000e-01 |  0.5496   1.2600
0009  | 4.500000e-01 |  0.5238   1.4281
0010  | 5.000000e-01 |  0.4745   1.5869
0011  | 5.500000e-01 |  0.4056   1.7366
0012  | 6.000000e-01 |  0.3220   1.8776
0013  | 6.500000e-01 |  0.2288   2.0082
0014  | 7.000000e-01 | -0.0198  -0.3860
0015  | 7.500000e-01 | -0.0178  -0.4248
0016  | 8.000000e-01 | -0.0173  -0.4507
0017  | 8.500000e-01 | -0.0174  -0.4768
0018  | 9.000000e-01 | -0.0179  -0.5032
0019  | 9.500000e-01 | -0.0187  -0.5300
0020  | 1.000000e+00 | -0.0194  -0.5571
0021  | 1.050000e+00 | -0.0200  -0.5843
0022  | 1.100000e+00 | -0.0205  -0.6116
0023  | 1.150000e+00 | -0.0210  -0.6389
